"code1","code2","source"
"RXNORM:2180","PheCode:480.1","may treat(jun)"
"RXNORM:2180","PheCode:480.13","may treat(jun)"
"RXNORM:2180","PheCode:994.2","may treat(jun)"
"RXNORM:2180","PheCode:420.3","may treat(jun)"
"RXNORM:2180","PheCode:710.19","may treat(jun)"
"RXNORM:2180","PheCode:NA","may treat(jun)"
"RXNORM:2180","PheCode:711.1","may treat(jun)"
"RXNORM:2180","PheCode:591","may treat(jun)"
"RXNORM:2180","PheCode:519.8","may treat(jun)"
"RXNORM:2180","PheCode:574.2","may treat(jun)"
"RXNORM:2186","PheCode:657","may treat(jun)"
"RXNORM:2186","PheCode:136","may treat(jun)"
"RXNORM:2186","PheCode:994.2","may treat(jun)"
"RXNORM:2186","PheCode:710.19","may treat(jun)"
"RXNORM:2186","PheCode:38.2","may treat(jun)"
"RXNORM:2186","PheCode:519.8","may treat(jun)"
"RXNORM:2186","PheCode:711.1","may treat(jun)"
"RXNORM:2186","PheCode:041","may treat(jun)"
"RXNORM:2186","PheCode:567","may treat(jun)"
"RXNORM:2186","PheCode:480.13","may treat(jun)"
"RXNORM:2186","PheCode:41.4","may treat(jun)"
"RXNORM:2186","PheCode:NA","may treat(jun)"
"RXNORM:2186","PheCode:480.1","may treat(jun)"
"RXNORM:2186","PheCode:320","may treat(jun)"
"RXNORM:2186","PheCode:614.33","may treat(jun)"
"RXNORM:2186","PheCode:38.1","may treat(jun)"
"RXNORM:2186","PheCode:591","may treat(jun)"
"RXNORM:2186","PheCode:480.12","may treat(jun)"
"RXNORM:2186","PheCode:41.2","may treat(jun)"
"RXNORM:2186","PheCode:656","may treat(jun)"
"RXNORM:2187","PheCode:480.1","may treat(jun)"
"RXNORM:2187","PheCode:41.4","may treat(jun)"
"RXNORM:2187","PheCode:041","may treat(jun)"
"RXNORM:2187","PheCode:NA","may treat(jun)"
"RXNORM:2187","PheCode:41.11","may treat(jun)"
"RXNORM:2187","PheCode:41.2","may treat(jun)"
"RXNORM:2187","PheCode:90.2","may treat(jun)"
"RXNORM:2187","PheCode:480.13","may treat(jun)"
"RXNORM:2187","PheCode:591","may treat(jun)"
"RXNORM:2187","PheCode:614.33","may treat(jun)"
"RXNORM:2187","PheCode:519.8","may treat(jun)"
"RXNORM:2187","PheCode:614.4","may treat(jun)"
"RXNORM:2187","PheCode:994.2","may treat(jun)"
"RXNORM:2187","PheCode:136","may treat(jun)"
"RXNORM:2189","PheCode:41.4","may treat(jun)"
"RXNORM:2189","PheCode:614.33","may treat(jun)"
"RXNORM:2189","PheCode:041","may treat(jun)"
"RXNORM:2189","PheCode:614.4","may treat(jun)"
"RXNORM:2189","PheCode:480.1","may treat(jun)"
"RXNORM:2189","PheCode:614.31","may treat(jun)"
"RXNORM:2189","PheCode:41.11","may treat(jun)"
"RXNORM:2189","PheCode:711.1","may treat(jun)"
"RXNORM:2189","PheCode:080","may treat(jun)"
"RXNORM:2189","PheCode:657","may treat(jun)"
"RXNORM:2189","PheCode:710.19","may treat(jun)"
"RXNORM:2189","PheCode:38.1","may treat(jun)"
"RXNORM:2189","PheCode:38.2","may treat(jun)"
"RXNORM:2189","PheCode:NA","may treat(jun)"
"RXNORM:2189","PheCode:41.2","may treat(jun)"
"RXNORM:2189","PheCode:567","may treat(jun)"
"RXNORM:2189","PheCode:010","may treat(jun)"
"RXNORM:2189","PheCode:591","may treat(jun)"
"RXNORM:2189","PheCode:90.2","may treat(jun)"
"RXNORM:2189","PheCode:994.2","may treat(jun)"
"RXNORM:2189","PheCode:480.13","may treat(jun)"
"RXNORM:2189","PheCode:136","may treat(jun)"
"RXNORM:2191","PheCode:320","may treat(jun)"
"RXNORM:2191","PheCode:480.1","may treat(jun)"
"RXNORM:2191","PheCode:38.2","may treat(jun)"
"RXNORM:2191","PheCode:041","may treat(jun)"
"RXNORM:2191","PheCode:38.1","may treat(jun)"
"RXNORM:2191","PheCode:41.11","may treat(jun)"
"RXNORM:2191","PheCode:90.2","may treat(jun)"
"RXNORM:2191","PheCode:136","may treat(jun)"
"RXNORM:2191","PheCode:614.4","may treat(jun)"
"RXNORM:2191","PheCode:591","may treat(jun)"
"RXNORM:2191","PheCode:657","may treat(jun)"
"RXNORM:2191","PheCode:41.4","may treat(jun)"
"RXNORM:2191","PheCode:994.2","may treat(jun)"
"RXNORM:2191","PheCode:NA","may treat(jun)"
"RXNORM:2191","PheCode:480.13","may treat(jun)"
"RXNORM:2191","PheCode:567","may treat(jun)"
"RXNORM:2191","PheCode:41.2","may treat(jun)"
"RXNORM:2191","PheCode:710.19","may treat(jun)"
"RXNORM:2191","PheCode:686","may treat(jun)"
"RXNORM:2191","PheCode:519.8","may treat(jun)"
"RXNORM:2191","PheCode:686.5","may treat(jun)"
"RXNORM:2191","PheCode:711.1","may treat(jun)"
"RXNORM:2191","PheCode:480.12","may treat(jun)"
"RXNORM:2192","PheCode:480.13","may treat(jun)"
"RXNORM:2192","PheCode:480.1","may treat(jun)"
"RXNORM:2192","PheCode:41.4","may treat(jun)"
"RXNORM:2192","PheCode:90.2","may treat(jun)"
"RXNORM:2192","PheCode:041","may treat(jun)"
"RXNORM:2192","PheCode:591","may treat(jun)"
"RXNORM:2192","PheCode:41.11","may treat(jun)"
"RXNORM:2192","PheCode:994.2","may treat(jun)"
"RXNORM:2192","PheCode:NA","may treat(jun)"
